Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,Measure Count
0,<music21.chord.Chord A5 C6 F6>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
0.5,<music21.chord.Chord A5 C6 F6 B-4>,"[0, 4, 5, 7]","[5, 9, 10, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
0.75,<music21.chord.Chord A5 C6 F6 B-4>,"[0, 4, 5, 7]","[5, 9, 10, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
0.875,<music21.chord.Chord B-4>,[0],[10],Lighting the Tree S186 F Major.mid,Liszt,,
1,<music21.chord.Chord G5 C6 E6 C5>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
2,<music21.chord.Chord F5 A5 D6 D5>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
2.5,<music21.chord.Chord F5 A5 D6 D5>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
3,<music21.chord.Chord G5 C6 E5>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
5,<music21.chord.Chord D5 F5 B-5 D4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
5.25,<music21.chord.Chord D5 F5 B-5 E4>,"[0, 4, 6, 7]","[10, 2, 4, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
5.5,<music21.chord.Chord D4>,[0],[2],Lighting the Tree S186 F Major.mid,Liszt,,
5.75,<music21.chord.Chord E4>,[0],[4],Lighting the Tree S186 F Major.mid,Liszt,,
6,<music21.chord.Chord C5 F5 A5 F4>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
6.5,<music21.chord.Chord F4>,[0],[5],Lighting the Tree S186 F Major.mid,Liszt,,
7,<music21.chord.Chord B-4 D5 G5 G4>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
7.125,<music21.chord.Chord G4>,[0],[7],Lighting the Tree S186 F Major.mid,Liszt,,
7.5,<music21.chord.Chord B-4 D5 G5 G4>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
7.625,<music21.chord.Chord G4>,[0],[7],Lighting the Tree S186 F Major.mid,Liszt,,
8,<music21.chord.Chord C5 F5 A4>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
8.25,<music21.chord.Chord A4>,[0],[9],Lighting the Tree S186 F Major.mid,Liszt,,
9,<music21.chord.Chord A4 C5 F5 A3>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
9.25,<music21.chord.Chord A4 C5 F5 B-3>,"[0, 4, 5, 7]","[5, 9, 10, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
9.5,<music21.chord.Chord A3>,[0],[9],Lighting the Tree S186 F Major.mid,Liszt,,
9.75,<music21.chord.Chord B-3>,[0],[10],Lighting the Tree S186 F Major.mid,Liszt,,
10,<music21.chord.Chord G4 C5 E5 C4>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
11,<music21.chord.Chord F4 A4 D5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
11.5,<music21.chord.Chord F4 A4 D5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
12,<music21.chord.Chord G4 C5 E4>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
14,<music21.chord.Chord D4 F4 B-4 D3>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
14.25,<music21.chord.Chord D4 F4 B-4 E-3>,"[0, 4, 5, 7]","[10, 2, 3, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
14.5,<music21.chord.Chord D3>,[0],[2],Lighting the Tree S186 F Major.mid,Liszt,,
14.75,<music21.chord.Chord E-3>,[0],[3],Lighting the Tree S186 F Major.mid,Liszt,,
15,<music21.chord.Chord C4 F4 A4 F3>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
15.5,<music21.chord.Chord F3>,[0],[5],Lighting the Tree S186 F Major.mid,Liszt,,
16,<music21.chord.Chord B-3 D4 G4 G3>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
16.5,<music21.chord.Chord B-3 D4 G4 G3>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
17,<music21.chord.Chord C4 F4 A3>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
18,<music21.chord.Chord B-3 D4 G4 G3>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
18.25,<music21.chord.Chord G3>,[0],[7],Lighting the Tree S186 F Major.mid,Liszt,,
18.5,<music21.chord.Chord B-3 D4 G4>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
19,<music21.chord.Chord D4 A4 F#3>,"[0, 4, 7]","[2, 6, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
20,<music21.chord.Chord B-3 D4 G4 G3>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
20.5,<music21.chord.Chord B-3 D4 G4 G3>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
21,<music21.chord.Chord C4 F4 A3>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
22,<music21.chord.Chord B-3 D4 G4 G3>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
22.5,<music21.chord.Chord B-3 D4 G4 G3>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
23,<music21.chord.Chord D4 A4 F#3>,"[0, 4, 7]","[2, 6, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
24,<music21.chord.Chord B-3 D4 G4 G3>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
24.5,<music21.chord.Chord B-3 D4 G4 G3>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
25,<music21.chord.Chord D4 A4 F#3>,"[0, 4, 7]","[2, 6, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
27,<music21.chord.Chord A4 D4 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
27.25,<music21.chord.Chord B-4 D4 F3 A3>,"[0, 1, 5, 8]","[9, 10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
27.5,<music21.chord.Chord A4 D4 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
27.75,<music21.chord.Chord B-4 D4 F3 A3>,"[0, 1, 5, 8]","[9, 10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
27.875,<music21.chord.Chord B-4>,[0],[10],Lighting the Tree S186 F Major.mid,Liszt,,
28,<music21.chord.Chord C5 E4 E3 G3>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
29,<music21.chord.Chord D5 F4 D3 A3>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
29.5,<music21.chord.Chord D5 F4 D3 A3>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
30,<music21.chord.Chord E5 A4 C3 C4>,"[0, 3, 7]","[9, 0, 4]",Lighting the Tree S186 F Major.mid,Liszt,,
30.375,<music21.chord.Chord A4 C3 C4>,"[0, 3]","[9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
32,<music21.chord.Chord D5 G4 B-3 D4>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,Liszt,,
32.25,<music21.chord.Chord E5 G4 B-3 D4>,"[0, 2, 5, 8]","[2, 4, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
32.5,<music21.chord.Chord D5 G4>,"[0, 5]","[2, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
32.75,<music21.chord.Chord E5 G4>,"[0, 3]","[4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
32.875,<music21.chord.Chord E5>,[0],[4],Lighting the Tree S186 F Major.mid,Liszt,,
33,<music21.chord.Chord F5 F4 A3 C4>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
33.5,<music21.chord.Chord F4>,[0],[5],Lighting the Tree S186 F Major.mid,Liszt,,
34,<music21.chord.Chord G5 B-4 C5 G3 E4>,"[0, 3, 6, 8]","[4, 7, 10, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
34.25,<music21.chord.Chord B-4 C5>,"[0, 2]","[10, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
34.5,<music21.chord.Chord G5 B-4 C5 G3 E4>,"[0, 3, 6, 8]","[4, 7, 10, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
34.75,<music21.chord.Chord B-4 C5>,"[0, 2]","[10, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
35,<music21.chord.Chord A5 A4 C5 F3 F4>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
35.5,<music21.chord.Chord A4 C5>,"[0, 3]","[9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
36,<music21.chord.Chord C5 F5 C6 A3>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
36.25,<music21.chord.Chord C5 F5 C6 B-3>,"[0, 2, 7]","[10, 0, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
36.5,<music21.chord.Chord C5 F5 C6 A3>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
36.75,<music21.chord.Chord C5 F5 C6 B-3>,"[0, 2, 7]","[10, 0, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
36.875,<music21.chord.Chord B-3>,[0],[10],Lighting the Tree S186 F Major.mid,Liszt,,
37,<music21.chord.Chord E5 G5 C6 C4>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
38,<music21.chord.Chord D5 F5 A5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
38.5,<music21.chord.Chord D5 F5 A5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
39,<music21.chord.Chord C5 G5 C6 E4>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
41,<music21.chord.Chord C5 F5 C6 A3>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
41.25,<music21.chord.Chord C5 F5 C6 B-3>,"[0, 2, 7]","[10, 0, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
41.5,<music21.chord.Chord C5 F5 C6 A3>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,Liszt,,
41.75,<music21.chord.Chord C5 F5 C6 B-3>,"[0, 2, 7]","[10, 0, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
41.875,<music21.chord.Chord B-3>,[0],[10],Lighting the Tree S186 F Major.mid,Liszt,,
42,<music21.chord.Chord E5 G5 C6 C4>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
43,<music21.chord.Chord D5 F5 A5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
43.5,<music21.chord.Chord D5 F5 A5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
44,<music21.chord.Chord C5 G5 C6 E4>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
45,<music21.chord.Chord D5 F5 B-5 F4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
45.5,<music21.chord.Chord D5 F5 B-5 F4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
46,<music21.chord.Chord D5 F5 A5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
46.5,<music21.chord.Chord D5 F5 A5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
47,<music21.chord.Chord C5 G5 C6 E4>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
48,<music21.chord.Chord D5 F5 B-5 F4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
48.5,<music21.chord.Chord D5 F5 B-5 F4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
49,<music21.chord.Chord D5 F5 A5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
49.5,<music21.chord.Chord D5 F5 A5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
50,<music21.chord.Chord C5 G5 C6 E4>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
50.5,<music21.chord.Chord C5 G5 C6 E4>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
51,<music21.chord.Chord D5 F5 B-5 F4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
51.5,<music21.chord.Chord D5 F5 B-5 F4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
52,<music21.chord.Chord D5 F5 A5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
52.5,<music21.chord.Chord D5 F5 A5 D4>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,Liszt,,
53,<music21.chord.Chord C5 G5 C6 E4>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
53.5,<music21.chord.Chord C5 G5 C6 E4>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,Liszt,,
54,<music21.chord.Chord D5 F5 B-5 F4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
54.5,<music21.chord.Chord D5 F5 B-5 F4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
55,<music21.chord.Chord D5 F5 B-5 G4>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
55.5,<music21.chord.Chord D5 F5 B-5 F4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
56,<music21.chord.Chord D5 F5 B-5 E-4>,"[0, 4, 5, 7]","[10, 2, 3, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
56.5,<music21.chord.Chord D5 F5 B-5 D4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
56.75,<music21.chord.Chord D4>,[0],[2],Lighting the Tree S186 F Major.mid,Liszt,,
57,<music21.chord.Chord A5 D5 F5 C4>,"[0, 3, 5, 8]","[9, 0, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
57.5,<music21.chord.Chord B-5 D5 F5 B-3>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
57.75,<music21.chord.Chord B-5 D5 F5 C6 B-3>,"[0, 2, 4, 7]","[10, 0, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
58,<music21.chord.Chord E-5 G5 B-5 G4>,"[0, 4, 7]","[3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
58.5,<music21.chord.Chord E-5 G5 B-5 F4>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
59,<music21.chord.Chord E-5 G5 B-5 E-4>,"[0, 4, 7]","[3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
59.5,<music21.chord.Chord E-5 G5 B-5 D4>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
59.75,<music21.chord.Chord D4>,[0],[2],Lighting the Tree S186 F Major.mid,Liszt,,
60,<music21.chord.Chord A5 E-5 G5 C4>,"[0, 2, 5, 8]","[7, 9, 0, 3]",Lighting the Tree S186 F Major.mid,Liszt,,
60.5,<music21.chord.Chord B-5 E-5 G5 B-3>,"[0, 4, 7]","[3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
60.75,<music21.chord.Chord B-5 E-5 G5 C6 B-3>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Lighting the Tree S186 F Major.mid,Liszt,,
61,<music21.chord.Chord D5 F5 B-5 G4>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
61.5,<music21.chord.Chord D5 F5 B-5 F4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
62,<music21.chord.Chord D5 F5 B-5 E-4>,"[0, 4, 5, 7]","[10, 2, 3, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
62.5,<music21.chord.Chord D5 F5 B-5 D4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
62.75,<music21.chord.Chord D4>,[0],[2],Lighting the Tree S186 F Major.mid,Liszt,,
63,<music21.chord.Chord A5 D5 F5 C4>,"[0, 3, 5, 8]","[9, 0, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
63.5,<music21.chord.Chord B-5 D5 F5 B-3>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
63.75,<music21.chord.Chord B-5 D5 F5 C6 B-3>,"[0, 2, 4, 7]","[10, 0, 2, 5]",Lighting the Tree S186 F Major.mid,Liszt,,
64,<music21.chord.Chord E-5 G5 B-5 G4>,"[0, 4, 7]","[3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
64.5,<music21.chord.Chord E-5 G5 B-5 F4>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
65,<music21.chord.Chord E-5 G5 B-5 E-4>,"[0, 4, 7]","[3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
65.5,<music21.chord.Chord E-5 G5 B-5 D4>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
65.75,<music21.chord.Chord D4>,[0],[2],Lighting the Tree S186 F Major.mid,Liszt,,
66,<music21.chord.Chord A5 E-5 G5 C4>,"[0, 2, 5, 8]","[7, 9, 0, 3]",Lighting the Tree S186 F Major.mid,Liszt,,
66.5,<music21.chord.Chord B-5 E-5 G5 B-3>,"[0, 4, 7]","[3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
66.75,<music21.chord.Chord B-5 E-5 G5 C6 B-3>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Lighting the Tree S186 F Major.mid,Liszt,,
67,<music21.chord.Chord E-5 G5 B-5 G4>,"[0, 4, 7]","[3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
67.5,<music21.chord.Chord E-5 G5 B-5 F4>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
68,<music21.chord.Chord E-5 G5 B-5 E-4>,"[0, 4, 7]","[3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
68.5,<music21.chord.Chord E-5 G5 B-5 D4>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
68.75,<music21.chord.Chord D4>,[0],[2],Lighting the Tree S186 F Major.mid,Liszt,,
69,<music21.chord.Chord A5 E-5 G5 C4>,"[0, 2, 5, 8]","[7, 9, 0, 3]",Lighting the Tree S186 F Major.mid,Liszt,,
69.5,<music21.chord.Chord B-5 E-5 G5 B-3>,"[0, 4, 7]","[3, 7, 10]",Lighting the Tree S186 F Major.mid,Liszt,,
69.75,<music21.chord.Chord B-5 E-5 G5 C6 B-3>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Lighting the Tree S186 F Major.mid,Liszt,,
